genetic_id,group_id,country,region,lat,lon,date_bp,D_Den,D_Den_Z,D_Den_nSNP,alpha_Nea,alpha_nSNP,high_conf
UKR165.SG,Ukraine_EarlyModern_Cossack,Ukraine,Europe,50.946,30.8039,250.0,0.042009,3.556,87654,0.03814,85075,False
AMA009.AG,Indonesia_EBA,Indonesia,Island SE Asia / Oceania,2.35,128.4,857.0,0.022766,3.454,458540,0.02346,397874,True
I8156.AG,Spain_C,Spain,Europe,37.24,-4.24,4650.0,0.072735,3.421,15971,0.024576,14065,False
NIK005.SG,Russia_Yaroslav_EMBA,Russia,Europe,57.5292637,39.6699406,4646.0,0.048458,3.251,63269,0.0347,54319,False
LIT001.AG,Indonesia_LIA,Indonesia,Island SE Asia / Oceania,-8.54,120.44,757.0,0.021052,3.141,320823,0.024191,273006,True
VK264_d.SG,England_Viking,United Kingdom,Europe,50.6710879,-2.465799,950.0,0.030997,3.13,82310,0.05201,71796,False
PCA0332.SG,Poland_IA,Poland,Europe,52.53,17.38,850.0,0.032187,3.061,130288,0.021504,118446,False
CSK048.AG,Austria_Avar,Austria,Europe,48.15158,16.46978,1250.0,0.019847,2.916,364720,0.024753,326106,True
Uattamdi1.AG,Indonesia_N,Indonesia,Island SE Asia / Oceania,0.02,127.41,1824.0,0.018235,2.881,397858,0.032484,320130,True
UKR039.SG,Ukraine_MIA_Scythian,Ukraine,Europe,49.4054,30.8469,2600.0,0.046476,2.88,35836,0.034601,31721,False
MGS126.AG,Austria_Avar,Austria,Europe,48.08152,16.28535,1225.0,0.014851,2.849,406862,0.025353,359159,True
MBG013.AG,Germany_Magdalenenberg_IA_Hallstatt,Germany,Europe,48.04456368,8.443347259,2525.0,0.041528,2.701,32142,0.034714,26550,False
I13680.AG,England_MIA,United Kingdom,Europe,50.949985,-2.735842,2224.0,0.02085,2.666,216400,0.030289,184728,False
PN45.SG,Italy_Novilara_IA_Piceni,Italy,Europe,43.8587,12.9313,2649.0,0.033485,2.655,46574,0.035003,44591,False
MJ-37.SG,Ukraine_Roman-o,Ukraine,Europe,49.8666667,34.0,1624.0,0.034518,2.639,77489,0.045972,67791,False
I14652.AG,Turkey_Medieval_Byzantine-1,Turkey,Europe,36.87,37.54,750.0,0.024015,2.628,112881,0.036819,94245,False
I7598.AG,Spain_MLN,Spain,Europe,38.7025,-0.48631,5411.0,0.02054,2.59,204225,0.028841,173045,False
R3918.SG,Serbia_LateRoman,Serbia,Europe,44.966801,19.609892,904.0,0.01963,2.59,266846,0.021191,241149,True
AITI_33.AG.SG,Germany_KleinaitingenGewerbegebietNord_EBA,Germany,Europe,48.22281,10.84499,3596.0,0.052983,2.587,33875,0.03116,28725,False
LEO070.AG,Austria_Avar,Austria,Europe,47.916667,16.216667,1225.0,0.023321,2.559,171741,0.018,155135,False
UKR139.SG,Ukraine_EarlyMedieval,Ukraine,Europe,50.1351,36.7992,1202.0,0.0206,2.556,160489,0.030919,145014,False
BAM001.AG,Mongolia_Bulgan_XiongnuPeriod,Mongolia,East Asia,48.595494,102.830353,2000.0,0.018259,2.548,270883,0.022814,238591,True
I19286.AG,Scotland_N,United Kingdom,Europe,57.907525,-3.996847,5130.0,0.034309,2.538,46125,0.042893,41156,False
CC7-335.AG.BY.AA,Bulgaria_BachoKiroCave_IUP,Bulgaria,Europe,42.948,24.4302,45117.0,0.01657,2.524,276541,0.043681,239974,False
DA95.SG,Kazakhstan_Nomad,Kazakhstan,Central Asia / Steppe,52.616486,76.750244,1596.0,0.013919,2.501,476147,0.029836,435380,True
