genetic_id,group_id,country,region,date_bp,alpha_Nea,alpha_SE,alpha_lcb,alpha_ucb,alpha_nSNP,D_Nea_Z,high_conf
ZKU002.AG.SG,Czechia_Zlatykun_IUP,Czechia,Europe,45875.0,0.025786,0.006728,0.01259912,0.03897288,480521,2.634,False
RNI081.AG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.024901,0.008076,0.00907204,0.040729959999999996,205209,3.181,True
RNI085.AG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.024575,0.00888,0.007170199999999998,0.0419798,128684,3.011,False
ZKU002.SG,Czechia_Zlatykun_IUP,Czechia,Europe,45875.0,0.024034,0.006897,0.01051588,0.03755212,498614,3.219,True
RNI010.AG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.00642,0.020674,-0.03410104,0.04694104,18082,-1.11,False
RNI013.SG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.026151,0.009631,0.007274240000000001,0.04502776,300857,2.411,True
RNI004.AG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.01907,0.008244,0.002911760000000003,0.035228239999999994,124176,1.633,False
RNI080.AG,Germany_Ranis_IUP,Germany,Europe,45875.0,0.023519,0.006093,0.011576720000000002,0.03546128,355943,3.425,True
BB7-240.AG.BY.AA,Bulgaria_BachoKiroCave_IUP,Bulgaria,Europe,45371.0,0.033184,0.008356,0.016806239999999997,0.049561759999999996,316502,3.865,True
CC7-335.AG.BY.AA,Bulgaria_BachoKiroCave_IUP,Bulgaria,Europe,45117.0,0.043681,0.006907,0.030143279999999998,0.05721872,239974,5.612,False
Ust_Ishim.DG,Russia_UstIshim_IUP,Russia,Siberia,44366.0,0.02339,0.005474,0.012660960000000002,0.03411904,505813,2.799,True
F6-620.AG.BY.AA,Bulgaria_BachoKiroCave_IUP,Bulgaria,Europe,43250.0,0.041346,0.009508,0.02271032,0.05998168,445276,4.006,True
Oase1_d.AG.BY.AA,Romania_IUP,Romania,Europe,39982.0,0.097978,0.021787,0.055275479999999995,0.14068052,25775,4.354,False
Tianyuan.AG.BY.AA,China_TianyuanCave_UP,China,East Asia,39565.0,0.023781,0.007101,0.009863040000000002,0.03769896,392218,2.769,True
Kostenki14.SG,Russia_Kostenki_UP,Russia,Europe,38052.0,0.023297,0.005325,0.012859999999999998,0.033734,464272,3.222,False
Kostenki14_d.AG.BY.AA,Russia_Kostenki_UP,Russia,Europe,38052.0,0.020718,0.005719,0.00950876,0.03192724,484587,3.344,True
BK3C.SG,Crimea_BuranKayaIII_EarlyUP,Crimea,Europe,36791.0,0.042565,0.018674,0.005963959999999997,0.07916604,23113,1.296,False
GoyetQ116-1.SG,Belgium_UP,Belgium,Europe,35208.0,0.041335,0.00996,0.021813399999999997,0.0608566,129167,4.426,False
GoyetQ116-1.AG,Belgium_UP,Belgium,Europe,35208.0,0.032298,0.008357,0.01591828,0.04867772,253561,4.98,True
BK-1653.AG.BY.AA,Bulgaria_BachoKiroCave_UP,Bulgaria,Europe,34948.0,0.031396,0.008341,0.015047640000000001,0.04774436,416473,4.085,False
salkhit1.AG.BY.AA,Mongolia_Salkhit_UP,Mongolia,East Asia,34873.0,0.020035,0.005253,0.00973912,0.03033088,453366,4.058,True
salkhit1_d.AG.BY.AA,Mongolia_Salkhit_UP,Mongolia,East Asia,34873.0,0.021072,0.009852,0.0017620800000000027,0.04038192,71958,1.681,False
GoyetQ376-3.AG,Belgium_Aurignacian,Belgium,Europe,34845.0,0.005776,0.019565,-0.0325714,0.04412339999999999,20545,-0.045,False
Sunghir2.SG,Russia_Sunghir_UP,Russia,Europe,34629.0,0.02432,0.005797,0.012957880000000001,0.03568212,501716,2.575,True
Sunghir3.SG,Russia_Sunghir_UP,Russia,Europe,34517.0,0.022239,0.006076,0.010330039999999999,0.03414796,505742,2.922,True
Muierii2.SG,Romania_UP,Romania,Europe,34415.0,0.025781,0.005502,0.01499708,0.03656492,505632,4.8,True
Muierii2.AG,Romania_UP,Romania,Europe,34415.0,0.026875,0.018554,-0.009490840000000004,0.06324084,30366,1.172,False
Sunghir4.SG,Russia_Sunghir_UP,Russia,Europe,34323.0,0.026265,0.006189,0.014134560000000001,0.03839544,500926,3.259,True
NE20.AG,China_AmurRiverBasin_UP,China,East Asia,33592.0,0.018562,0.005833,0.00712932,0.029994679999999996,431383,3.395,True
Sunghir1.SG,Russia_Sunghir_UP,Russia,Europe,33209.0,0.02061,0.006535,0.0078014,0.0334186,369145,2.668,True
Paglicci133.AG,Italy_Apulia_Gravettian,Italy,Europe,32886.0,0.02108,0.014925,-0.008173,0.050333,30185,3.11,False
Kostenki12.AG.BY.AA,Russia_Kostenki_UP,Russia,Europe,32650.0,0.051968,0.018045,0.016599800000000005,0.0873362,21585,3.796,False
Yana1.SG,Russia_YanaRiver_UP,Russia,Siberia,31850.0,0.025729,0.005583,0.014786319999999999,0.03667168,505794,4.321,False
Yana2.SG,Russia_YanaRiver_UP,Russia,Siberia,31850.0,0.021981,0.006195,0.0098388,0.0341232,504759,3.683,True
Vestonice14.AG,Czechia_Gravettian,Czechia,Europe,31015.0,0.015641,0.007733,0.00048431999999999815,0.03079768,329939,2.571,True
Vestonice15.AG,Czechia_Gravettian,Czechia,Europe,30981.0,0.021516,0.006962,0.007870480000000001,0.03516152,298160,2.152,False
ORM001.AG,France_Gravettian,France,Europe,30900.0,0.033025,0.00863,0.016110199999999998,0.0499398,180841,3.86,False
Vestonice13.AG,Czechia_Gravettian,Czechia,Europe,30800.0,0.041164,0.011301,0.01901404,0.06331396,45519,4.016,False
Pavlov1.AG,Czechia_Gravettian,Czechia,Europe,30350.0,0.053813,0.020213,0.014195520000000003,0.09343048,19825,2.732,False
I2483_alt.AG,Austria_Gravettian,Austria,Europe,30246.0,0.014225,0.008519,-0.0024722400000000023,0.030922240000000004,148782,2.075,False
I2483.AG,Austria_Gravettian,Austria,Europe,30246.0,0.026877,0.006481,0.014174240000000003,0.03957976,305007,3.818,False
I2483.AG.BY,Austria_Gravettian,Austria,Europe,30246.0,0.015147,0.008541,-0.0015933599999999985,0.031887360000000003,148887,2.312,False
I2483.TW,Austria_Gravettian,Austria,Europe,30246.0,0.013115,0.008216,-0.002988359999999997,0.02921836,153864,2.21,False
I1577.AG,Austria_Gravettian,Austria,Europe,30200.0,0.021054,0.010149,0.00116196,0.04094604,100022,2.377,False
I1577.AG.BY,Austria_Gravettian,Austria,Europe,30200.0,0.021645,0.010004,0.0020371599999999997,0.04125284,100012,2.434,False
Vestonice43.AG,Czechia_Gravettian,Czechia,Europe,29800.0,0.00212,0.011893,-0.021190280000000002,0.025430280000000003,53103,-0.669,False
Vestonice16.AG.BY.AA,Czechia_Gravettian,Czechia,Europe,29800.0,0.021533,0.006569,0.00865776,0.03440824,321903,3.313,True
PA12.AG,Italy_Apulia_Gravettian,Italy,Europe,28891.0,0.027427,0.006276,0.01512604,0.03972796,424158,3.764,True
FRL006_d.AG,France_Occitanie_Gravettian,France,Europe,28725.0,0.046001,0.008299,0.029734959999999998,0.06226704,99140,4.562,False
FRL006.AG,France_Occitanie_Gravettian,France,Europe,28725.0,0.030722,0.007042,0.01691968,0.04452432,271715,4.61,False
GOY014.AG,Belgium_Gravettian,Belgium,Europe,27926.0,0.033183,0.009277,0.015000079999999996,0.051365919999999995,83943,4.257,False
Ostuni1.AG,Italy_Apulia_Gravettian,Italy,Europe,27614.0,0.027316,0.008647,0.01036788,0.044264120000000004,126024,3.005,False
GoyetQ376-19.AG,Belgium_Gravettian,Belgium,Europe,27509.0,0.034714,0.010157,0.014806280000000005,0.05462172,42315,3.575,False
GER003.AG,Spain_Gravettian,Spain,Europe,27203.0,0.045742,0.00937,0.0273768,0.0641072,121169,5.887,False
GER003_d.AG,Spain_Gravettian,Spain,Europe,27203.0,0.077066,0.017301,0.04315603999999999,0.11097596,26251,3.86,False
I11857.SG,Georgia_DzudzuanaCave_UP,Georgia,Europe,26350.0,0.031941,0.021538,-0.010273480000000008,0.07415548,17745,0.418,False
I11857.AG,Georgia_DzudzuanaCave_UP,Georgia,Europe,26350.0,0.014626,0.013268,-0.011379279999999999,0.04063128,43271,0.296,False
GER002.AG,Spain_Gravettian,Spain,Europe,26144.0,0.037486,0.009187,0.019479479999999997,0.055492520000000004,89010,3.256,False
NEO283.SG,Georgia_KotiasKlde_UP,Georgia,Europe,25590.0,0.026421,0.006705,0.0132792,0.0395628,279873,3.58,True
