pop,continent,het_1240,rank1240,het_HO,rankHO
Yoruba,Africa,0.2786644141996288,1,0.26515277644628416,1
Mozabite,N.Africa/Mid-East,0.2783049216503606,2,0.25608165466991173,3
Burusho,South Asia,0.27216880876739,3,0.2486788477045523,5
Russian,Europe,0.2700674850871388,4,0.24550056263381356,8
French,Europe,0.26919343170040877,5,0.24562606268872395,7
BedouinA,N.Africa/Mid-East,0.26916404295310875,6,0.24679355793559674,6
Biaka,Africa,0.2658662042837964,7,0.2578972988332188,2
Druze,N.Africa/Mid-East,0.26355578537459073,8,0.24040369541603604,9
Basque,Europe,0.2632371383200433,9,0.2390753909602773,11
Sardinian,Europe,0.2622636441440399,10,0.23836156740571116,13
Balochi,South Asia,0.261572690501315,11,0.23900489416546433,12
Kalash,South Asia,0.2588903640311998,12,0.23579345572430407,14
Yakut,East Asia/Siberia,0.24932740921375574,13,0.2298620383823448,16
Han,East Asia/Siberia,0.24813828544580274,14,0.2307766786334771,15
Mbuti,Africa,0.2459044210733697,15,0.24009825425123263,10
Japanese,East Asia/Siberia,0.24576622193591088,16,0.22767483384990822,17
Ju_hoan_North,Africa,0.2451136947794621,17,0.25482175015504677,4
Mayan,Americas,0.22174751308083093,18,0.20319404959338372,18
Papuan,Oceania,0.1975223705023743,19,0.1864344037843287,19
Karitiana,Americas,0.17787269097287406,20,0.1629838856635854,20
