pop,continent,n,het,het_se,dist_km,lat,lon
Yoruba,Africa,24,0.2786644141996288,0.0006331171548772688,3816.3288267364555,8.0,4
Mozabite,N.Africa/Mid-East,29,0.2783049216503606,0.0012140211124607452,4476.855903514545,32.0,3
Burusho,South Asia,26,0.27216880876739,0.00088300071987661,4661.180142273829,36.0,74
Russian,Europe,27,0.2700674850871388,0.0006521448285360484,5560.835198577193,59.0,40
French,Europe,31,0.26919343170040877,0.0013410587867210067,5392.847207609901,46.0,2
BedouinA,N.Africa/Mid-East,25,0.26916404295310875,0.0021102065861753577,2476.1275454838196,31.0,35
Biaka,Africa,24,0.2658662042837964,0.0006805880531822243,2460.0881911962524,4.0,17
Druze,N.Africa/Mid-East,44,0.26355578537459073,0.001492801638387732,2695.595351481026,33.0,35
Basque,Europe,25,0.2632371383200433,0.0008461500917843031,5463.1662693698845,43.0,-2
Sardinian,Europe,31,0.2622636441440399,0.0008116383563925142,4529.170686369257,40.0,9
Balochi,South Asia,26,0.261572690501315,0.0029077960822806834,3673.6750285099706,30.0,66
Kalash,South Asia,24,0.2588903640311998,0.0014242602664146671,4509.264156064591,36.0,72
Yakut,East Asia/Siberia,22,0.24932740921375574,0.0009560091645724475,9192.358924515529,62.0,130
Han,East Asia/Siberia,46,0.24813828544580274,0.0006507183740138943,7729.425139254769,34.0,110
Mbuti,Africa,15,0.2459044210733697,0.0011453737355661391,1359.189785961697,1.5,29
Japanese,East Asia/Siberia,31,0.24576622193591088,0.0005979580514236115,10244.476483554781,36.0,138
Ju_hoan_North,Africa,10,0.2451136947794621,0.005396057010313422,3761.831497967763,-20.0,21
Mayan,Americas,24,0.22174751308083093,0.009780915919341682,13588.726287917805,19.0,-90
Papuan,Oceania,32,0.1975223705023743,0.0012882910264769018,11786.073064386572,-6.0,144
Karitiana,Americas,16,0.17787269097287406,0.011661323989656884,11449.555253626384,-10.0,-63
