cohort,alpha_Nea,alpha_SE,alpha_nSNP,D_Nea,D_Nea_Z,D_Den,D_Den_Z,n
Anatolia Neolithic,0.019444175065696418,0.0038354400038524464,505842,0.013331984734864695,4.026413760488801,-0.003545721393493264,-0.9293020549800733,58
Italy Neolithic,0.020791576751083125,0.003947387056022669,505843,0.014971588556848643,4.273900650883894,-0.002582204424175218,-0.6632056108679468,46
Aegean BA,0.020923070603300318,0.004103913715747731,505817,0.015162897430574385,4.496322232623115,-0.003188748021171376,-0.7912855445985635,24
Italy Bronze Age,0.02113196449622459,0.003951697195292351,505844,0.015634415138958083,4.652172437112327,-0.0037217760893361804,-1.0356462178899188,115
Yamnaya (Steppe),0.021414664952003473,0.003945672566047195,505839,0.015931026757818496,4.6170327464715575,-0.002655365496068288,-0.6837433552221719,150
Etruscan,0.019589361941381465,0.003862006637051498,505844,0.01440292583261021,4.370426852304362,-0.003195803671944504,-0.8468849876955391,75
Latin / Italic IA,0.02235496730761002,0.004315694569464211,501351,0.014883779768805764,4.255729558106549,-0.002464400371185371,-0.5807919576254328,6
Sicily (anc),0.02223331082334391,0.0038729175230108903,505832,0.01683017201946503,5.082304316370413,-0.002221039594584139,-0.5935509043996261,150
Magna Graecia Greek,0.021305584000339113,0.003990526090662494,505326,0.015547940450970505,4.674418378699868,-0.0034070172589325547,-0.9255952770675123,30
Republican Roman,0.023338494594443367,0.0037209896981124026,505833,0.017017168022848812,4.7681987240010955,-0.0008061269882436954,-0.1895917034243592,19
Imperial Roman,0.020437862796569495,0.0037494466958531347,505845,0.014545466886934682,4.393915558155479,-0.00328330321351536,-0.8884660990687945,150
Sardinia (anc),0.021982540331308763,0.003888322841537686,505844,0.016037356443350515,4.731981323809973,-0.0037950053399370366,-1.0655639022001533,139
Sardinian (mod),0.02034324708297889,0.0038039636137062165,505843,0.01566192274623384,4.77061003185628,-0.0034750328847117234,-0.8863132805961196,31
Spanish (mod),0.02053608168126771,0.0037829429285676495,505813,0.015419405102484072,4.637669118316837,-0.0018177271739882462,-0.4858082344276697,55
French (mod),0.02087697141757806,0.0037917166482894955,505842,0.016080222506327214,4.825438909717923,-0.0016222945904294363,-0.436016069479688,31
Han (mod),0.022900935256053696,0.003812698356392025,505837,0.01754616136447651,4.581802685629716,-0.0033849370791040577,-0.7740551944440203,46
Etruscan Tuscany,0.02057575190165713,0.00394384892790919,499201,0.015636078568480843,4.765370089560389,-0.0012740761151238144,-0.33022969799695456,31
Etruscan Lazio,0.01936416396456426,0.003900239346701099,505843,0.013866167125890087,4.154514930261359,-0.00366251247959471,-0.9500932975148335,37
Yoruba,-0.0010450975608598655,0.0021140712824729837,505844,-0.0049577110756901825,-2.9580558273249538,-0.00508532465613307,-2.057343260621001,127
