id1,id2,norm_P0,degree
EV19.SG,EV7A.SG,0.478,identical/duplicate
TAQ001.AG,TAQ017.AG,0.698,first-degree
TAQ005.AG,TAQ015.AG,0.749,first-degree
TAQ001.AG,TAQ024.AG,0.757,first-degree
TAQ005.AG,TAQ018.AG,0.769,first-degree
CSN002.AG,CSN009.AG,0.778,first-degree
TAQ017.AG,TAQ024.AG,0.781,first-degree
CSN002.AG,CSN010.AG.SG,0.829,second-degree
EV16A.SG,EV7A.SG,0.829,second-degree
CSN003.AG,CSN010.AG.SG,0.843,second-degree
CSN010.AG.SG,EV16A.SG,0.847,second-degree
CSN009.AG,EV16D2.SG,0.863,second-degree
CSN010.AG.SG,CSN012.AG,0.865,second-degree
CSN002.AG,MAS004.AG,0.869,second-degree
TAQ015.AG,TAQ018.AG,0.872,second-degree
CSN009.AG,CSN010.AG.SG,0.882,second-degree
CSN012.AG,ETR005.AG,0.89,second-degree
VET010.AG,EV16D2.SG,0.892,second-degree
CSN003.AG,CSN012.AG,0.894,second-degree
R10359.SG,EV16A.SG,0.894,second-degree
CSN007.AG,VET001.AG,0.898,second-degree
MAS004.AG,EV16D1.SG,0.905,second-degree
