name,n_ind,Nea_match,Nea_match_se,Nea_alpha,Den_match,Den_match_se,known_alpha,nSNP
Bennett,1,18.14720812182741,1.4588890876433065,2.2544576792926683,14.102564102564102,4.615731250991596,,394
Orcadian,17,17.13621019607949,0.8380157615207625,2.1151540317211195,18.401207144443806,3.4575353886043976,2.1104474485709046,394
English,12,17.407898825172545,0.7694577586434281,2.1525895358626115,15.918803635316017,2.9047012472079774,2.0183368539774116,394
French,31,16.609387206584973,0.7946629383489958,2.042564007357971,17.236007845554596,2.911212211161519,2.087697141757806,394
Basque,25,17.930215216114135,0.8655780708812069,2.224558603841404,15.641025663950506,3.0638174746872733,2.042201432414025,394
Spanish,55,16.326767920048407,0.7418814489181139,2.003622386919446,16.06060591263649,3.014203151647493,2.053608168126771,394
Italian_North,24,16.36238594014708,0.8211857694525865,2.0085301320222375,16.933760620080506,3.1194588788438877,2.0426150299380734,394
Sardinian,31,16.50875642101474,0.7159779695999443,2.0286982662610713,17.162944567509186,2.9651450537174955,2.034324708297889,394
Han,46,16.81387623545104,1.2594039551334584,2.070740195344048,20.212436596361492,3.986664997564045,2.2900935256053696,394
Papuan,32,15.25283340969818,1.328034812263164,1.8556468167083815,19.40722358532441,3.2584960404125876,2.9363241018429544,394
Yoruba,24,2.1106593490478955,0.15996765446818173,0.04480948752750186,3.4327384800865097,0.4993475000547433,-0.11007429124089028,394
Mbuti,15,0.8999167653131607,0.10143185508341991,-0.12201662941005458,1.3675216967478776,0.393519682954588,0.0,394
