chrom,match,alpha,nSNP
1,18.75,2.3375153248301954,48
2,17.307692307692307,2.1387822539286625,26
3,10.526315789473683,1.204388166181104,19
4,45.83333333333333,6.069280767314535,12
5,23.076923076923077,2.933714537534794,26
6,25.0,3.1986919654035044,20
7,12.903225806451612,1.53189846751968,31
8,21.875,2.76810364511685,16
9,25.0,3.1986919654035044,20
10,9.67741935483871,1.087420201417327,31
11,16.666666666666664,2.050456444639092,21
12,15.517241379310345,1.892079131430208,29
13,30.76923076923077,3.993624249009636,13
14,9.090909090909092,1.0066059712168993,11
15,15.0,1.82080934048621,10
16,7.6923076923076925,0.8138951145851097,13
18,15.0,1.82080934048621,10
20,22.727272727272727,2.885536823376847,11
22,22.22222222222222,2.815946791815367,9
