alpha_true,seed,alpha_est,se,n_sites
0.0,0,-0.0007809621399774622,0.001530301943713467,945669
0.0,1,0.0015187513560279962,0.0015173948993228202,946069
0.0,2,0.0013591605391742529,0.001619750302279556,944648
0.0,3,-0.002274253357273865,0.0013492697627168165,944655
0.01,0,0.007245041599806786,0.0019699274668438433,946728
0.01,1,0.012221685233393845,0.002097387692349215,946765
0.01,2,0.012183478612478607,0.002444784170317819,943770
0.01,3,0.011932887007009537,0.001933179600603721,943148
0.02,0,0.017501962138294712,0.00268391523954384,946633
0.02,1,0.02170286002775825,0.002789075584853977,949263
0.02,2,0.016741387643539274,0.0024580798891087685,947465
0.02,3,0.019876340090564375,0.0027064000900202537,944345
0.03,0,0.02317484817925197,0.0023673537723768036,947863
0.03,1,0.031201091938150193,0.003143555659162964,948505
0.03,2,0.026817922304689844,0.0028282229109671433,945093
0.03,3,0.03118332538258088,0.0038099741488979073,945457
0.05,0,0.04846992697276521,0.003617129953062072,946966
0.05,1,0.057797663543704046,0.004108204986610369,949664
0.05,2,0.04703315501396421,0.0031231009965928353,946514
0.05,3,0.04764019467998291,0.004082741223203386,947044
0.08,0,0.07649656701311598,0.00548517383075078,948658
0.08,1,0.07261905191376836,0.004236216154826898,948414
0.08,2,0.08628808919597822,0.005084293387600533,950945
0.08,3,0.07498623473849066,0.004598214142452533,950010
